Photo Name,photo_caption,generation_time,completion_tokens
WhatsApp Image 2024-01-19 at 11.37.08.jpeg,,0.0,0
WhatsApp Image 2024-01-17 at 12.55.41.jpeg,,0.0,0
WhatsApp Image 2023-11-04 at 12.24.19.jpeg,,0.0,0
WhatsApp Image 2023-12-30 at 17.03.48.jpeg,,0.0,0
WhatsApp Image 2024-02-16 at 17.34.37.jpeg,,0.0,0
WhatsApp Image 2023-09-09 at 20.47.30.jpeg,,0.0,0
WhatsApp Image 2023-11-10 at 10.53.07.jpeg,,0.0,0
WhatsApp Image 2024-01-28 at 13.19.03.jpeg,,0.0,0
WhatsApp Image 2024-02-25 at 17.26.02.jpeg,,0.0,0
WhatsApp Image 2024-01-03 at 18.04.33.jpeg,,0.0,0
WhatsApp Image 2024-02-04 at 11.05.39.jpeg,,0.0,0
WhatsApp Image 2023-12-04 at 07.57.11.jpeg,,0.0,0
WhatsApp Image 2024-02-18 at 18.24.21.jpeg,,0.0,0
WhatsApp Image 2024-01-19 at 13.19.22.jpeg,,0.0,0
WhatsApp Image 2024-02-04 at 08.40.03.jpeg,,0.0,0
WhatsApp Image 2024-01-17 at 12.55.40.jpeg,,0.0,0
WhatsApp Image 2023-11-01 at 14.15.54.jpeg,,0.0,0
WhatsApp Image 2024-02-21 at 17.39.37.jpeg,,0.0,0
WhatsApp Image 2023-09-26 at 16.46.19.jpeg,,0.0,0
WhatsApp Image 2023-11-18 at 12.58.42.jpeg,,0.0,0
WhatsApp Image 2023-11-17 at 17.09.16.jpeg,,0.0,0
WhatsApp Image 2024-01-14 at 20.24.35.jpeg,,0.0,0
WhatsApp Image 2023-11-10 at 17.02.08.jpeg,,0.0,0
WhatsApp Image 2023-12-14 at 12.59.01.jpeg,,0.0,0
WhatsApp Image 2024-02-23 at 12.21.49.jpeg,,0.0,0
WhatsApp Image 2024-01-14 at 20.24.34.jpeg,,0.0,0
WhatsApp Image 2024-03-19 at 18.29.54.jpeg,,0.0,0
WhatsApp Image 2024-02-17 at 12.33.33.jpeg,,0.0,0
WhatsApp Image 2024-03-16 at 16.28.57.jpeg,,0.0,0
WhatsApp Image 2024-03-06 at 10.42.59.jpeg,,0.0,0
WhatsApp Image 2024-02-15 at 17.24.53.jpeg,,0.0,0
WhatsApp Image 2023-11-24 at 08.12.23.jpeg,,0.0,0
WhatsApp Image 2024-02-14 at 17.28.38.jpeg,,0.0,0
WhatsApp Image 2024-03-02 at 12.10.58.jpeg,,0.0,0
WhatsApp Image 2024-03-17 at 08.32.44.jpeg,,0.0,0
WhatsApp Image 2023-11-21 at 09.17.18.jpeg,,0.0,0
WhatsApp Image 2023-10-09 at 20.51.47.jpeg,,0.0,0
WhatsApp Image 2024-01-03 at 17.58.06.jpeg,,0.0,0
WhatsApp Image 2023-12-30 at 16.30.47.jpeg,,0.0,0
WhatsApp Image 2023-10-30 at 10.15.34.jpeg,,0.0,0
WhatsApp Image 2023-12-12 at 17.54.04.jpeg,,0.0,0
WhatsApp Image 2023-12-15 at 15.41.43.jpeg,,0.0,0
WhatsApp Image 2023-12-16 at 20.30.57.jpeg,,0.0,0
WhatsApp Image 2023-12-11 at 15.49.34.jpeg,,0.0,0
WhatsApp Image 2024-01-23 at 16.32.03.jpeg,,0.0,0
WhatsApp Image 2023-11-07 at 12.12.23.jpeg,,0.0,0
WhatsApp Image 2024-01-11 at 19.47.55.jpeg,,0.0,0
WhatsApp Image 2023-10-10 at 09.46.30.jpeg,,0.0,0
WhatsApp Image 2024-01-04 at 14.48.01.jpeg,,0.0,0
WhatsApp Image 2023-12-14 at 13.32.00.jpeg,,0.0,0
WhatsApp Image 2024-03-02 at 12.27.45.jpeg,,0.0,0
WhatsApp Image 2024-01-24 at 17.35.17.jpeg,,0.0,0
WhatsApp Image 2024-02-21 at 16.14.26.jpeg,,0.0,0
WhatsApp Image 2023-09-27 at 18.38.36.jpeg,,0.0,0
WhatsApp Image 2023-11-17 at 17.00.25.jpeg,,0.0,0
WhatsApp Image 2023-10-04 at 17.14.08.jpeg,,0.0,0
WhatsApp Image 2023-11-01 at 11.07.27.jpeg,,0.0,0
Ron.jpeg,,0.0,0
WhatsApp Image 2024-02-22 at 20.41.16.jpeg,,0.0,0
WhatsApp Image 2023-11-06 at 17.13.45.jpeg,,0.0,0
